CASA,FORA,GOLS_CASA,GOLS_FORA,TEMPORADA
Valencia,Betis,1,1,2526
Celta,Barcelona,2,4,2526
Valencia,Levante,1,0,2526
Alaves,Celta,0,1,2526
Barcelona,Ath Bilbao,4,0,2526
Osasuna,Sociedad,1,3,2526
Villarreal,Mallorca,2,1,2526
Oviedo,Vallecano,0,0,2526
Betis,Girona,1,1,2526
Getafe,Ath Madrid,0,1,2526
Elche,Real Madrid,2,2,2526
Espanol,Sevilla,2,1,2526
Getafe,Elche,1,0,2526
Mallorca,Osasuna,2,2,2526
Barcelona,Alaves,3,1,2526
Levante,Ath Bilbao,0,2,2526
Ath Madrid,Oviedo,2,0,2526
Sociedad,Villarreal,2,3,2526
Sevilla,Betis,0,2,2526
Celta,Espanol,0,1,2526
Girona,Real Madrid,1,1,2526
Vallecano,Valencia,1,1,2526
Barcelona,Ath Madrid,3,1,2526
Ath Bilbao,Real Madrid,0,3,2526
Oviedo,Mallorca,0,0,2526
Villarreal,Getafe,2,0,2526
Alaves,Sociedad,1,0,2526
Betis,Barcelona,3,5,2526
Ath Bilbao,Ath Madrid,1,0,2526
Elche,Girona,3,0,2526
Valencia,Sevilla,1,1,2526
Espanol,Vallecano,1,0,2526
Real Madrid,Celta,0,2,2526
Osasuna,Levante,2,0,2526
Sociedad,Girona,1,2,2526
Ath Madrid,Valencia,2,1,2526
Mallorca,Elche,3,1,2526
Barcelona,Osasuna,2,0,2526
Getafe,Espanol,0,1,2526
Sevilla,Oviedo,4,0,2526
Celta,Ath Bilbao,2,0,2526
Alaves,Real Madrid,1,2,2526
Vallecano,Betis,0,0,2526
Valencia,Mallorca,1,1,2526
Oviedo,Celta,0,0,2526
Levante,Sociedad,1,1,2526
Osasuna,Alaves,3,0,2526
Real Madrid,Sevilla,2,0,2526
Girona,Ath Madrid,0,3,2526
Villarreal,Barcelona,0,2,2526
Elche,Vallecano,4,0,2526
Betis,Getafe,4,0,2526
Ath Bilbao,Espanol,1,2,2526
Vallecano,Getafe,1,1,2526
Celta,Valencia,4,1,2526
Osasuna,Ath Bilbao,1,1,2526
Elche,Villarreal,1,3,2526
Espanol,Barcelona,0,2,2526
Sevilla,Levante,0,3,2526
Real Madrid,Betis,5,1,2526
Alaves,Oviedo,1,1,2526
Mallorca,Girona,1,2,2526
Sociedad,Ath Madrid,1,1,2526
Getafe,Sociedad,1,2,2526
Oviedo,Betis,1,1,2526
Villarreal,Alaves,3,1,2526
Girona,Osasuna,1,0,2526
Valencia,Elche,1,1,2526
Vallecano,Mallorca,2,1,2526
Levante,Espanol,1,1,2526
Sevilla,Celta,0,1,2526
Espanol,Girona,0,2,2526
Real Madrid,Levante,2,0,2526
Mallorca,Ath Bilbao,3,2,2526
Osasuna,Oviedo,3,2,2526
Betis,Villarreal,2,0,2526
Getafe,Valencia,0,1,2526
Ath Madrid,Alaves,1,0,2526
Celta,Vallecano,3,0,2526
Sociedad,Barcelona,2,1,2526
Elche,Sevilla,2,2,2526
Levante,Elche,3,2,2526
Vallecano,Osasuna,1,3,2526
Valencia,Espanol,3,2,2526
Sevilla,Ath Bilbao,2,1,2526
Villarreal,Real Madrid,0,2,2526
Ath Madrid,Mallorca,3,0,2526
Barcelona,Oviedo,3,0,2526
Sociedad,Celta,3,1,2526
Alaves,Betis,2,1,2526
Girona,Getafe,1,1,2526
Espanol,Alaves,1,2,2526
Oviedo,Girona,1,0,2526
Osasuna,Villarreal,2,2,2526
